t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1501485745.992394447,-1.808870196,-0.667434275,1.010828257,0.085456476,-0.459005147,-0.117004037,0.016312543,-0.010901163,1.461936235,-0.595586181,1.766216040,0.899999976,-0.409409344,-0.086940624,-0.078508541,0.125024276,0.563463274,0.000000000,60.883045197,2.209599972,1.000000000,0.000000000,2.000000000
1501485746.016412020,-1.800954700,-0.704151928,1.005435705,0.100619502,-0.501181066,-0.120015003,0.005759839,-0.017117836,1.460480690,-0.595586181,1.766216040,0.899999976,-0.409409344,-0.086940624,-0.078508541,0.135302381,0.575384003,0.000000000,61.700504303,1.337599993,1.000000000,1.000000000,2.000000000
1501485746.017405510,-1.800954700,-0.704151928,1.005435705,0.100619502,-0.501181066,-0.120015003,0.005759839,-0.017117836,1.460480690,-0.595586181,1.766216040,0.899999976,-0.409409344,-0.086940624,-0.078508541,0.135302381,0.575384003,0.000000000,61.700504303,2.914000034,1.000000000,0.000000000,3.000000000
1501485746.057657480,-1.799018025,-0.713376820,1.004226208,0.105495386,-0.514688551,-0.119524844,0.003098490,-0.018685192,1.459959626,-0.633033276,1.758451462,0.899999976,-0.412660062,-0.085878953,-0.075587198,0.144389217,0.579974719,0.000000000,63.874622345,2.795000076,0.000000000,0.000000000,2.000000000
1501485746.057699203,-1.799018025,-0.713376820,1.004226208,0.105495386,-0.514688551,-0.119524844,0.003098490,-0.018685192,1.459959626,-0.633033276,1.758451462,0.899999976,-0.412660062,-0.085878953,-0.075587198,0.144389217,0.579974719,0.000000000,63.874622345,1.662299991,0.000000000,1.000000000,3.000000000
1501485746.082610369,-1.799018025,-0.713376820,1.004226208,0.105495386,-0.514688551,-0.119524844,0.003098490,-0.018685192,1.459959626,-0.649690568,1.758404851,0.889999986,-0.401208997,-0.075731538,-0.075295761,0.152454402,0.589415931,0.000000000,64.489990234,1.858000040,0.000000000,1.000000000,2.000000000
1501485746.082647085,-1.799018025,-0.713376820,1.004226208,0.105495386,-0.514688551,-0.119524844,0.003098490,-0.018685192,1.459959626,-0.649690568,1.758404851,0.889999986,-0.401208997,-0.075731538,-0.075295761,0.152454402,0.589415931,0.000000000,64.489990234,2.512300014,0.000000000,0.000000000,3.000000000
1501485746.107004166,-1.794082165,-0.735779643,1.001554847,0.115104578,-0.541283906,-0.116749190,-0.002839828,-0.022832740,1.459514022,-0.649690568,1.758404851,0.889999986,-0.401208997,-0.075731538,-0.075295761,0.154151991,0.592531019,0.000000000,64.243240356,2.069999933,1.000000000,1.000000000,3.000000000
1501485746.108258009,-1.794082165,-0.735779643,1.001554847,0.115104578,-0.541283906,-0.116749190,-0.002839828,-0.022832740,1.459514022,-0.649690568,1.758404851,0.889999986,-0.401208997,-0.075731538,-0.075295761,0.154151991,0.592531019,0.000000000,64.243240356,2.218600035,1.000000000,0.000000000,2.000000000
1501485746.132092476,-1.794082165,-0.735779643,1.001554847,0.115104578,-0.541283906,-0.116749190,-0.002839828,-0.022832740,1.459514022,-0.649690568,1.758404851,0.889999986,-0.401208997,-0.075731538,-0.075295761,0.154151991,0.592531019,0.000000000,64.243240356,1.383599997,1.000000000,1.000000000,2.000000000
1501485746.132675648,-1.794082165,-0.735779643,1.001554847,0.115104578,-0.541283906,-0.116749190,-0.002839828,-0.022832740,1.459514022,-0.649690568,1.758404851,0.889999986,-0.401208997,-0.075731538,-0.075295761,0.154151991,0.592531019,0.000000000,64.243240356,2.959000111,1.000000000,0.000000000,3.000000000
1501485746.172994137,-1.788071394,-0.762165725,0.999267459,0.123829119,-0.556583822,-0.105899259,-0.008268278,-0.025704261,1.458200574,-0.672697783,1.754794836,0.889999986,-0.390908211,-0.069498390,-0.069600195,0.157125102,0.592483533,0.000000000,64.210914612,2.796999931,0.000000000,0.000000000,2.000000000
1501485746.174139977,-1.788071394,-0.762165725,0.999267459,0.123829119,-0.556583822,-0.105899259,-0.008268278,-0.025704261,1.458200574,-0.672697783,1.754794836,0.889999986,-0.390908211,-0.069498390,-0.069600195,0.157125102,0.592483533,0.000000000,64.210914612,1.683300018,0.000000000,1.000000000,3.000000000
