t, viconX, viconY, viconZ, viconRo, viconPi, viconYa, uwbD, uwbAnt, uwbRspdX, uwbRspdY, uwbRspdZ, imuQx, imuQy, imuQz, imuQw, g2oX, g2oY, g2oZ, lidarZ
1499672060.656654358,-1.015571952,-1.873851299,0.222812846,-0.005091310,-0.002789007,1.590482116,2.480000019,1.000000000,0.000000000,0.000000000,1.514000000,-0.001369375,0.002559252,0.009846273,0.999947349,-1.839462972,0.984456418,0.181058778,0.169999993
1499672060.672171593,-1.015644670,-1.873894930,0.222753033,-0.004733413,-0.003120918,1.589820504,2.252599955,2.000000000,0.000000000,0.000000000,1.514000000,-0.001537871,0.002381437,0.009515609,0.999950773,-1.841722450,0.985712246,0.179719603,0.169999993
1499672060.688256025,-1.015644670,-1.873894930,0.222753033,-0.004733413,-0.003120918,1.589820504,2.689300060,3.000000000,0.000000000,0.000000000,1.514000000,-0.001537871,0.002381437,0.009515609,0.999950773,-1.842931111,0.986374663,0.179040647,0.179999983
1499672060.704191446,-1.015644670,-1.873894930,0.222753033,-0.004733413,-0.003120918,1.589820504,2.898000002,4.000000000,0.000000000,0.000000000,1.514000000,-0.001537871,0.002381437,0.009515609,0.999950773,-1.844028177,0.986878789,0.178249317,0.179999983
1499672060.720005274,-1.015644670,-1.873894930,0.222753033,-0.004733413,-0.003120918,1.589820504,2.476000071,1.000000000,0.000000000,0.000000000,1.514000000,-0.001537871,0.002381437,0.009515609,0.999950773,-1.843638013,0.986777428,0.178480215,0.179999983
1499672060.736215591,-1.015644670,-1.873894930,0.222753033,-0.004733413,-0.003120918,1.589820504,2.214600086,2.000000000,0.000000000,0.000000000,1.514000000,-0.001537871,0.002381437,0.009515609,0.999950773,-1.845482299,0.987864217,0.177361441,0.179999983
1499672060.752148867,-1.015455127,-1.873724461,0.222799927,-0.005334152,-0.002357704,1.589296699,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001154127,0.002677861,0.009253157,0.999952926,-1.845350580,0.987724773,0.177522842,0.179999983
1499672060.768656015,-1.015561104,-1.873761892,0.222805709,-0.005260251,-0.002856771,1.589637160,2.894999981,4.000000000,0.000000000,0.000000000,1.514000000,-0.001154127,0.002677861,0.009253157,0.999952926,-1.838288279,0.985290861,0.184852070,0.179999983
1499672060.784231424,-1.015561104,-1.873761892,0.222805709,-0.005260251,-0.002856771,1.589637160,2.496999979,1.000000000,0.000000000,0.000000000,1.514000000,-0.001403540,0.002643459,0.009424041,0.999951139,-1.838878407,0.985481643,0.184512669,0.179999983
1499672060.800067902,-1.015561104,-1.873761892,0.222805709,-0.005260251,-0.002856771,1.589637160,2.253599882,2.000000000,0.000000000,0.000000000,1.514000000,-0.001403540,0.002643459,0.009424041,0.999951139,-1.839150232,0.985575136,0.184391192,0.179999983
1499672060.818480730,-1.015561104,-1.873761892,0.222805709,-0.005260251,-0.002856771,1.589637160,2.653300047,3.000000000,0.000000000,0.000000000,1.514000000,-0.001403540,0.002643459,0.009424041,0.999951139,-1.845383297,0.990167591,0.179395702,0.179999983
1499672060.832207918,-1.015635252,-1.873902559,0.222790346,-0.004625082,-0.002960877,1.589942217,2.891999960,4.000000000,0.000000000,0.000000000,1.514000000,-0.001458229,0.002326602,0.009576159,0.999950382,-1.838116165,0.985741230,0.181249439,0.190000004
1499672060.848103285,-1.015635252,-1.873902559,0.222790346,-0.004625082,-0.002960877,1.589942217,2.444999933,1.000000000,0.000000000,0.000000000,1.514000000,-0.001458229,0.002326602,0.009576159,0.999950382,-1.835376531,0.987243870,0.184757962,0.190000004
1499672060.864280224,-1.015635252,-1.873902559,0.222790346,-0.004625082,-0.002960877,1.589942217,2.221600056,2.000000000,0.000000000,0.000000000,1.514000000,-0.001458229,0.002326602,0.009576159,0.999950382,-1.837255231,0.988500743,0.183635002,0.190000004
1499672060.880290270,-1.015549898,-1.873785853,0.222832367,-0.005206421,-0.002449590,1.589645505,2.685300112,3.000000000,0.000000000,0.000000000,1.514000000,-0.001200202,0.002614633,0.009427606,0.999951358,-1.827601417,0.984466972,0.191938852,0.179999983
1499672060.895915985,-1.015549898,-1.873785853,0.222832367,-0.005206421,-0.002449590,1.589645505,2.895999908,4.000000000,0.000000000,0.000000000,1.514000000,-0.001200202,0.002614633,0.009427606,0.999951358,-1.825222040,0.983453355,0.193704950,0.179999983
1499672060.912057400,-1.015549898,-1.873785853,0.222832367,-0.005206421,-0.002449590,1.589645505,2.437999964,1.000000000,0.000000000,0.000000000,1.514000000,-0.001200202,0.002614633,0.009427606,0.999951358,-1.826640783,0.983938032,0.192908863,0.179999983
1499672060.929173946,-1.015494466,-1.873737812,0.222822919,-0.005325948,-0.002388509,1.589312553,2.246599913,2.000000000,0.000000000,0.000000000,1.514000000,-0.001169545,0.002673911,0.009261118,0.999952900,-1.833541141,0.988788617,0.191554291,0.179999983
1499672060.944123268,-1.015516996,-1.873768568,0.222821146,-0.005147319,-0.002550971,1.589297652,2.692300081,3.000000000,0.000000000,0.000000000,1.514000000,-0.001251619,0.002585343,0.009253803,0.999953043,-1.832662218,0.988013000,0.192336821,0.179999983
1499672060.960108042,-1.015516996,-1.873768568,0.222821146,-0.005147319,-0.002550971,1.589297652,2.898000002,4.000000000,0.000000000,0.000000000,1.514000000,-0.001251619,0.002585343,0.009253803,0.999953043,-1.835011322,0.987936528,0.190597386,0.179999983
1499672060.976723909,-1.015532732,-1.873812199,0.222810686,-0.004941653,-0.002900255,1.589376450,2.454999924,1.000000000,0.000000000,0.000000000,1.514000000,-0.001427106,0.002484186,0.009293511,0.999952721,-1.838550184,0.988921816,0.187821903,0.179999983
1499672060.992730618,-1.015566230,-1.873815536,0.222826660,-0.004818387,-0.002635165,1.589483857,2.250600100,2.000000000,0.000000000,0.000000000,1.514000000,-0.001427106,0.002484186,0.009293511,0.999952721,-1.854543124,0.997899399,0.178171233,0.179999983
1499672061.008074522,-1.015566230,-1.873815536,0.222826660,-0.004818387,-0.002635165,1.589483857,2.683300018,3.000000000,0.000000000,0.000000000,1.514000000,-0.001295010,0.002421395,0.009346758,0.999952475,-1.852099139,0.994320405,0.182281118,0.199999994
1499672061.024110794,-1.015566230,-1.873815536,0.222826660,-0.004818387,-0.002635165,1.589483857,2.881000042,4.000000000,0.000000000,0.000000000,1.514000000,-0.001295010,0.002421395,0.009346758,0.999952475,-1.848222057,0.992670655,0.184771060,0.199999994
1499672061.040043354,-1.015566230,-1.873815536,0.222826660,-0.004818387,-0.002635165,1.589483857,2.469000101,1.000000000,0.000000000,0.000000000,1.514000000,-0.001295010,0.002421395,0.009346758,0.999952475,-1.848632515,0.992897589,0.198760846,0.199999994
1499672061.056068897,-1.015541553,-1.873793960,0.222851023,-0.005244545,-0.002277399,1.589777708,2.214600086,2.000000000,0.000000000,0.000000000,1.514000000,-0.001113757,0.002632957,0.009493490,0.999950829,-1.848134321,0.992510694,0.198835559,0.199999994
1499672061.072410822,-1.015527010,-1.873742580,0.222789437,-0.005426774,-0.002278737,1.589754224,2.685300112,3.000000000,0.000000000,0.000000000,1.514000000,-0.001113593,0.002724060,0.009481876,0.999950674,-1.847997987,0.992387551,0.198426041,0.199999994
1499672061.088487148,-1.015527010,-1.873742580,0.222789437,-0.005426774,-0.002278737,1.589754224,2.898000002,4.000000000,0.000000000,0.000000000,1.514000000,-0.001113593,0.002724060,0.009481876,0.999950674,-1.842046729,0.989858363,0.201830252,0.169999993
1499672061.103964090,-1.015514374,-1.873778701,0.222822219,-0.005663979,-0.002780322,1.589683652,2.450000048,1.000000000,0.000000000,0.000000000,1.514000000,-0.001363349,0.002844985,0.009447397,0.999950407,-1.842230688,0.989894739,0.201704860,0.169999993
1499672061.120143414,-1.015540004,-1.873773813,0.222899631,-0.004911009,-0.002394431,1.589510441,2.214600086,2.000000000,0.000000000,0.000000000,1.514000000,-0.001174183,0.002466595,0.009359842,0.999952452,-1.845005387,0.992057762,0.187151882,0.169999993
1499672061.136062860,-1.015540004,-1.873773813,0.222899631,-0.004911009,-0.002394431,1.589510441,2.736299992,3.000000000,0.000000000,0.000000000,1.514000000,-0.001174183,0.002466595,0.009359842,0.999952452,-1.844970176,0.992393396,0.187225736,0.169999993
1499672061.151993752,-1.015540004,-1.873773813,0.222899631,-0.004911009,-0.002394431,1.589510441,2.891000032,4.000000000,0.000000000,0.000000000,1.514000000,-0.001174183,0.002466595,0.009359842,0.999952452,-1.824853708,0.984577929,0.206536089,0.169999993
1499672061.168004036,-1.015540004,-1.873773813,0.222899631,-0.004911009,-0.002394431,1.589510441,2.441999912,1.000000000,0.000000000,0.000000000,1.514000000,-0.001174183,0.002466595,0.009359842,0.999952452,-1.835690323,0.986936325,0.204358417,0.199999994
1499672061.184063673,-1.015540004,-1.873773813,0.222899631,-0.004911009,-0.002394431,1.589510441,2.258599997,2.000000000,0.000000000,0.000000000,1.514000000,-0.001174183,0.002466595,0.009359842,0.999952452,-1.839377306,0.990313739,0.202663701,0.199999994
1499672061.200233698,-1.015481830,-1.873750329,0.222852424,-0.005327051,-0.002574387,1.589463592,2.649300098,3.000000000,0.000000000,0.000000000,1.514000000,-0.001262273,0.002675418,0.009336933,0.999952003,-1.842598397,0.993093591,0.198725902,0.199999994
1499672061.216927052,-1.015481830,-1.873750329,0.222852424,-0.005327051,-0.002574387,1.589463592,2.927000046,4.000000000,0.000000000,0.000000000,1.514000000,-0.001262273,0.002675418,0.009336933,0.999952003,-1.844820319,0.994296289,0.197049858,0.169999993
1499672061.232104063,-1.015494943,-1.873742223,0.222866401,-0.005309906,-0.002194101,1.589558601,2.417000055,1.000000000,0.000000000,0.000000000,1.514000000,-0.001072092,0.002665123,0.009383877,0.999951884,-1.839780849,0.993532126,0.199873592,0.169999993
1499672061.248266935,-1.015494943,-1.873742223,0.222866401,-0.005309906,-0.002194101,1.589558601,2.255599976,2.000000000,0.000000000,0.000000000,1.514000000,-0.001072092,0.002665123,0.009383877,0.999951884,-1.850057864,1.000427230,0.180832190,0.169999993
1499672061.264488220,-1.015494943,-1.873742223,0.222866401,-0.005309906,-0.002194101,1.589558601,2.688299894,3.000000000,0.000000000,0.000000000,1.514000000,-0.001072092,0.002665123,0.009383877,0.999951884,-1.849863550,1.000672252,0.181743175,0.199999994
1499672061.280084848,-1.015494943,-1.873742223,0.222866401,-0.005309906,-0.002194101,1.589558601,2.888999939,4.000000000,0.000000000,0.000000000,1.514000000,-0.001072092,0.002665123,0.009383877,0.999951884,-1.850733879,1.001689703,0.192993398,0.199999994
1499672061.296142340,-1.015564203,-1.873820543,0.222880632,-0.004960181,-0.002391869,1.589563847,2.448999882,1.000000000,0.000000000,0.000000000,1.514000000,-0.001172606,0.002491199,0.009386589,0.999952139,-1.851064947,1.001899718,0.192663601,0.199999994
1499672061.312127352,-1.015564203,-1.873820543,0.222880632,-0.004960181,-0.002391869,1.589563847,2.252599955,2.000000000,0.000000000,0.000000000,1.514000000,-0.001172606,0.002491199,0.009386589,0.999952139,-1.851329483,1.002084448,0.192304773,0.179999983
1499672061.328139544,-1.015496254,-1.873782635,0.222848549,-0.005256861,-0.002359582,1.589431405,2.692300081,3.000000000,0.000000000,0.000000000,1.514000000,-0.001155245,0.002639304,0.009320466,0.999952371,-1.851511862,1.002224594,0.192001538,0.179999983
1499672061.344115496,-1.015457511,-1.873763919,0.222862318,-0.005539017,-0.002267750,1.589417458,2.885999918,4.000000000,0.000000000,0.000000000,1.514000000,-0.001108036,0.002779940,0.009313548,0.999952199,-1.851494061,1.002225374,0.191993846,0.179999983
1499672061.360024929,-1.015457511,-1.873763919,0.222862318,-0.005539017,-0.002267750,1.589417458,2.477999926,1.000000000,0.000000000,0.000000000,1.514000000,-0.001108036,0.002779940,0.009313548,0.999952199,-1.848896958,1.001380984,0.189069581,0.179999983
1499672061.376022339,-1.015434265,-1.873739243,0.222874567,-0.005402265,-0.002421420,1.589445710,2.246599913,2.000000000,0.000000000,0.000000000,1.514000000,-0.001185466,0.002712299,0.009327756,0.999952148,-1.848644276,1.001338568,0.189268617,0.179999983
1499672061.392563581,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.691299915,3.000000000,0.000000000,0.000000000,1.514000000,-0.001185466,0.002712299,0.009327756,0.999952148,-1.847615136,1.000677956,0.190184719,0.179999983
1499672061.408049345,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.888000011,4.000000000,0.000000000,0.000000000,1.514000000,-0.001129984,0.002738366,0.009311580,0.999952276,-1.845891298,0.999766074,0.183291845,0.179999983
1499672061.424071550,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.460999966,1.000000000,0.000000000,0.000000000,1.514000000,-0.001129984,0.002738366,0.009311580,0.999952276,-1.845168262,0.999497332,0.184045350,0.179999983
1499672061.439942360,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.256599903,2.000000000,0.000000000,0.000000000,1.514000000,-0.001129984,0.002738366,0.009311580,0.999952276,-1.845382001,0.999653082,0.184024300,0.179999983
1499672061.456458569,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.686300039,3.000000000,0.000000000,0.000000000,1.514000000,-0.001129984,0.002738366,0.009311580,0.999952276,-1.843179492,0.997980378,0.185876570,0.179999983
1499672061.471973896,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.884000063,4.000000000,0.000000000,0.000000000,1.514000000,-0.001129984,0.002738366,0.009311580,0.999952276,-1.841531031,0.997261072,0.184785561,0.179999983
1499672061.488132238,-1.015410066,-1.873736978,0.222848773,-0.005455469,-0.002310860,1.589413524,2.443000078,1.000000000,0.000000000,0.000000000,1.514000000,-0.001129984,0.002738366,0.009311580,0.999952276,-1.842006180,0.997476281,0.184549823,0.179999983
1499672061.504208326,-1.015437841,-1.873750210,0.222874478,-0.005324662,-0.002216663,1.589556932,2.250600100,2.000000000,0.000000000,0.000000000,1.514000000,-0.001083306,0.002672605,0.009383072,0.999951884,-1.833763412,0.990766888,0.189173611,0.179999983
1499672061.520060539,-1.015419245,-1.873726368,0.222895294,-0.005483615,-0.002269873,1.589474678,2.690299988,3.000000000,0.000000000,0.000000000,1.514000000,-0.001109276,0.002752282,0.009342138,0.999951963,-1.834859604,0.991361351,0.190463331,0.179999983
1499672061.536226511,-1.015419245,-1.873726368,0.222895294,-0.005483615,-0.002269873,1.589474678,2.895999908,4.000000000,0.000000000,0.000000000,1.514000000,-0.001109276,0.002752282,0.009342138,0.999951963,-1.839363958,0.992828790,0.188098822,0.199999994
1499672061.552151442,-1.015419245,-1.873726368,0.222895294,-0.005483615,-0.002269873,1.589474678,2.448999882,1.000000000,0.000000000,0.000000000,1.514000000,-0.001109276,0.002752282,0.009342138,0.999951963,-1.850567773,0.997537659,0.181310711,0.199999994
1499672061.568674564,-1.015408635,-1.873734355,0.222846106,-0.005491885,-0.002291220,1.589347959,2.251600027,2.000000000,0.000000000,0.000000000,1.514000000,-0.001046014,0.002805136,0.009322550,0.999952014,-1.848229407,0.994310449,0.196756537,0.199999994
1499672061.584171295,-1.015408635,-1.873734355,0.222846106,-0.005491885,-0.002291220,1.589347959,2.698299885,3.000000000,0.000000000,0.000000000,1.514000000,-0.001120086,0.002756445,0.009278783,0.999952553,-1.847295739,0.993457207,0.196893324,0.169999993
1499672061.600004196,-1.015408635,-1.873734355,0.222846106,-0.005491885,-0.002291220,1.589347959,2.891999960,4.000000000,0.000000000,0.000000000,1.514000000,-0.001120086,0.002756445,0.009278783,0.999952553,-1.846655191,0.992811860,0.196890495,0.169999993
1499672061.616041422,-1.015408635,-1.873734355,0.222846106,-0.005491885,-0.002291220,1.589347959,2.476999998,1.000000000,0.000000000,0.000000000,1.514000000,-0.001120086,0.002756445,0.009278783,0.999952553,-1.847864475,0.993157903,0.196132460,0.169999993
1499672061.632195234,-1.015408635,-1.873734355,0.222846106,-0.005491885,-0.002291220,1.589347959,2.249599934,2.000000000,0.000000000,0.000000000,1.514000000,-0.001120086,0.002756445,0.009278783,0.999952553,-1.848488908,0.993094971,0.180626841,0.209999985
1499672061.648191452,-1.015428782,-1.873760939,0.222903848,-0.005415555,-0.002261029,1.589334965,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001105362,0.002718135,0.009272251,0.999952656,-1.850862452,0.993611319,0.193494521,0.209999985
1499672061.663986921,-1.015428782,-1.873760939,0.222903848,-0.005415555,-0.002261029,1.589334965,2.892999887,4.000000000,0.000000000,0.000000000,1.514000000,-0.001105362,0.002718135,0.009272251,0.999952656,-1.850794797,0.993474027,0.193167118,0.209999985
1499672061.680023909,-1.015417695,-1.873748064,0.222939923,-0.005513087,-0.002151821,1.589625239,2.460999966,1.000000000,0.000000000,0.000000000,1.514000000,-0.001049908,0.002766545,0.009417224,0.999951248,-1.850678394,0.993395894,0.193160534,0.190000004
1499672061.696420908,-1.015417695,-1.873748064,0.222939923,-0.005513087,-0.002151821,1.589625239,2.213599920,2.000000000,0.000000000,0.000000000,1.514000000,-0.001049908,0.002766545,0.009417224,0.999951248,-1.856503022,0.996787888,0.189313966,0.190000004
1499672061.712146282,-1.015417695,-1.873748064,0.222939923,-0.005513087,-0.002151821,1.589625239,2.698299885,3.000000000,0.000000000,0.000000000,1.514000000,-0.001049908,0.002766545,0.009417224,0.999951248,-1.854183967,0.994884251,0.191214890,0.190000004
1499672061.727949142,-1.015438914,-1.873775601,0.222897351,-0.005487660,-0.001900582,1.589581490,2.898000002,4.000000000,0.000000000,0.000000000,1.514000000,-0.000924474,0.002752630,0.009394993,0.999951641,-1.842786378,0.990409822,0.201931956,0.190000004
1499672061.744135618,-1.015438914,-1.873775601,0.222897351,-0.005487660,-0.001900582,1.589581490,2.437000036,1.000000000,0.000000000,0.000000000,1.514000000,-0.000924474,0.002752630,0.009394993,0.999951641,-1.849997772,0.993354666,0.197694418,0.190000004
1499672061.760147810,-1.015438914,-1.873775601,0.222897351,-0.005487660,-0.001900582,1.589581490,2.214600086,2.000000000,0.000000000,0.000000000,1.514000000,-0.000924474,0.002752630,0.009394993,0.999951641,-1.852200026,0.994668571,0.196381042,0.190000004
1499672061.776208401,-1.015356779,-1.873770356,0.222905740,-0.005422825,-0.002014033,1.589419246,2.685300112,3.000000000,0.000000000,0.000000000,1.514000000,-0.000981722,0.002720666,0.009313983,0.999952357,-1.849986838,0.990048174,0.201366253,0.190000004
1499672061.792166948,-1.015356779,-1.873770356,0.222905740,-0.005422825,-0.002014033,1.589419246,2.894999981,4.000000000,0.000000000,0.000000000,1.514000000,-0.000981722,0.002720666,0.009313983,0.999952357,-1.834604550,0.985270572,0.212135175,0.179999983
1499672061.807967186,-1.015356779,-1.873770356,0.222905740,-0.005422825,-0.002014033,1.589419246,2.480000019,1.000000000,0.000000000,0.000000000,1.514000000,-0.000981722,0.002720666,0.009313983,0.999952357,-1.836480956,0.985923899,0.211760863,0.179999983
1499672061.824110508,-1.015356779,-1.873770356,0.222905740,-0.005422825,-0.002014033,1.589419246,2.257600069,2.000000000,0.000000000,0.000000000,1.514000000,-0.000981722,0.002720666,0.009313983,0.999952357,-1.839298783,0.989137172,0.197070902,0.179999983
